date,stock_id,TaiwanStockPrice_volume,TaiwanStockPrice_turnover,TaiwanStockPrice_open,TaiwanStockPrice_high,TaiwanStockPrice_low,TaiwanStockPrice_close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,TaiwanStockInstitutionalInvestorsBuySell_buy,TaiwanStockInstitutionalInvestorsBuySell_name,TaiwanStockInstitutionalInvestorsBuySell_sell,TaiwanStockInstitutionalInvestorsBuySell_foreign,TaiwanStockInstitutionalInvestorsBuySell_investment_trust,TaiwanStockInstitutionalInvestorsBuySell_dealer,TaiwanStockInstitutionalInvestorsBuySell_dealer_self,TaiwanStockInstitutionalInvestorsBuySell_dealer_hedging
2025-01-15,8932,269728,26301088,97.6,98.3,96.6,97.0,-0.2,838,0,Foreign_Dealer_Self,0,,,,,
2025-01-15,8932,269728,26301088,97.6,98.3,96.6,97.0,-0.2,838,0,Investment_Trust,0,,,,,
2025-01-15,8932,269728,26301088,97.6,98.3,96.6,97.0,-0.2,838,0,Dealer_self,0,,,,,
2025-01-15,8932,269728,26301088,97.6,98.3,96.6,97.0,-0.2,838,17050,Dealer_Hedging,1000,,,,,
2025-01-16,8932,763600,74359496,98.2,99.4,95.7,95.8,-1.2,1711,58100,Dealer_Hedging,87000,,,,,
2025-01-16,8932,763600,74359496,98.2,99.4,95.7,95.8,-1.2,1711,0,Dealer_self,0,,,,,
2025-01-16,8932,763600,74359496,98.2,99.4,95.7,95.8,-1.2,1711,250167,Foreign_Investor,302000,,,,,
2025-01-16,8932,763600,74359496,98.2,99.4,95.7,95.8,-1.2,1711,0,Foreign_Dealer_Self,0,,,,,
2025-01-16,8932,763600,74359496,98.2,99.4,95.7,95.8,-1.2,1711,0,Investment_Trust,0,,,,,
2025-01-17,8932,562627,54443960,96.4,97.9,96.0,96.0,0.2,437,368000,Foreign_Investor,107000,,,,,
2025-01-17,8932,562627,54443960,96.4,97.9,96.0,96.0,0.2,437,0,Foreign_Dealer_Self,0,,,,,
2025-01-17,8932,562627,54443960,96.4,97.9,96.0,96.0,0.2,437,0,Investment_Trust,0,,,,,
2025-01-17,8932,562627,54443960,96.4,97.9,96.0,96.0,0.2,437,0,Dealer_self,0,,,,,
2025-01-17,8932,562627,54443960,96.4,97.9,96.0,96.0,0.2,437,46618,Dealer_Hedging,22000,,,,,
2025-01-20,8932,269193,25826003,96.6,96.7,95.4,95.4,-0.6,270,124000,Foreign_Investor,98182,,,,,
2025-01-20,8932,269193,25826003,96.6,96.7,95.4,95.4,-0.6,270,0,Foreign_Dealer_Self,0,,,,,
2025-01-20,8932,269193,25826003,96.6,96.7,95.4,95.4,-0.6,270,0,Investment_Trust,0,,,,,
2025-01-20,8932,269193,25826003,96.6,96.7,95.4,95.4,-0.6,270,0,Dealer_self,0,,,,,
2025-01-20,8932,269193,25826003,96.6,96.7,95.4,95.4,-0.6,270,17992,Dealer_Hedging,8000,,,,,
2025-01-21,8932,300761,28822174,96.1,96.3,95.2,95.2,-0.2,284,0,Dealer_self,0,,,,,
2025-01-21,8932,300761,28822174,96.1,96.3,95.2,95.2,-0.2,284,0,Investment_Trust,0,,,,,
2025-01-21,8932,300761,28822174,96.1,96.3,95.2,95.2,-0.2,284,18000,Dealer_Hedging,21103,,,,,
2025-01-21,8932,300761,28822174,96.1,96.3,95.2,95.2,-0.2,284,112000,Foreign_Investor,95000,,,,,
2025-01-21,8932,300761,28822174,96.1,96.3,95.2,95.2,-0.2,284,0,Foreign_Dealer_Self,0,,,,,
2025-01-22,8932,212543,20365092,95.8,96.3,95.4,95.4,0.2,260,135000,Foreign_Investor,32000,,,,,
2025-01-22,8932,212543,20365092,95.8,96.3,95.4,95.4,0.2,260,0,Foreign_Dealer_Self,0,,,,,
2025-01-22,8932,212543,20365092,95.8,96.3,95.4,95.4,0.2,260,0,Investment_Trust,0,,,,,
2025-01-22,8932,212543,20365092,95.8,96.3,95.4,95.4,0.2,260,0,Dealer_self,0,,,,,
2025-01-22,8932,212543,20365092,95.8,96.3,95.4,95.4,0.2,260,2000,Dealer_Hedging,29000,,,,,
2025-02-03,8932,557875,53777364,95.9,98.3,94.1,98.0,2.6,743,77496,Dealer_Hedging,34000,,,,,
2025-02-03,8932,557875,53777364,95.9,98.3,94.1,98.0,2.6,743,0,Dealer_self,0,,,,,
2025-02-03,8932,557875,53777364,95.9,98.3,94.1,98.0,2.6,743,287000,Foreign_Investor,127000,,,,,
2025-02-03,8932,557875,53777364,95.9,98.3,94.1,98.0,2.6,743,0,Foreign_Dealer_Self,0,,,,,
2025-02-03,8932,557875,53777364,95.9,98.3,94.1,98.0,2.6,743,0,Investment_Trust,0,,,,,
2025-02-04,8932,1113658,111442866,97.8,102.0,97.8,101.5,3.5,1206,519000,Foreign_Investor,151000,,,,,
2025-02-04,8932,1113658,111442866,97.8,102.0,97.8,101.5,3.5,1206,0,Foreign_Dealer_Self,0,,,,,
2025-02-04,8932,1113658,111442866,97.8,102.0,97.8,101.5,3.5,1206,0,Investment_Trust,0,,,,,
2025-02-04,8932,1113658,111442866,97.8,102.0,97.8,101.5,3.5,1206,0,Dealer_self,0,,,,,
2025-02-04,8932,1113658,111442866,97.8,102.0,97.8,101.5,3.5,1206,135912,Dealer_Hedging,16280,,,,,
2025-02-05,8932,583096,58652397,99.5,102.0,99.5,101.0,-0.5,456,0,Dealer_self,0,,,,,
2025-02-05,8932,583096,58652397,99.5,102.0,99.5,101.0,-0.5,456,21000,Dealer_Hedging,91155,,,,,
2025-02-05,8932,583096,58652397,99.5,102.0,99.5,101.0,-0.5,456,0,Foreign_Dealer_Self,0,,,,,
2025-02-05,8932,583096,58652397,99.5,102.0,99.5,101.0,-0.5,456,216000,Foreign_Investor,100000,,,,,
2025-02-05,8932,583096,58652397,99.5,102.0,99.5,101.0,-0.5,456,0,Investment_Trust,0,,,,,
2025-02-06,8932,728786,75361470,101.5,106.0,101.5,102.0,1.0,563,234000,Foreign_Investor,110000,,,,,
2025-02-06,8932,728786,75361470,101.5,106.0,101.5,102.0,1.0,563,0,Foreign_Dealer_Self,0,,,,,
2025-02-06,8932,728786,75361470,101.5,106.0,101.5,102.0,1.0,563,0,Investment_Trust,0,,,,,
2025-02-06,8932,728786,75361470,101.5,106.0,101.5,102.0,1.0,563,0,Dealer_self,0,,,,,
2025-02-06,8932,728786,75361470,101.5,106.0,101.5,102.0,1.0,563,48034,Dealer_Hedging,314941,,,,,
2025-02-07,8932,393786,40666945,103.0,104.0,102.5,103.5,1.5,533,40074,Dealer_Hedging,91877,,,,,
2025-02-07,8932,393786,40666945,103.0,104.0,102.5,103.5,1.5,533,0,Dealer_self,0,,,,,
2025-02-07,8932,393786,40666945,103.0,104.0,102.5,103.5,1.5,533,0,Foreign_Dealer_Self,0,,,,,
2025-02-07,8932,393786,40666945,103.0,104.0,102.5,103.5,1.5,533,178000,Foreign_Investor,40000,,,,,
2025-02-07,8932,393786,40666945,103.0,104.0,102.5,103.5,1.5,533,0,Investment_Trust,0,,,,,
2025-02-10,8932,1050931,112508112,105.0,108.0,105.0,108.0,4.5,840,0,Dealer_self,0,,,,,
2025-02-10,8932,1050931,112508112,105.0,108.0,105.0,108.0,4.5,840,390000,Foreign_Investor,71000,,,,,
2025-02-10,8932,1050931,112508112,105.0,108.0,105.0,108.0,4.5,840,0,Foreign_Dealer_Self,0,,,,,
2025-02-10,8932,1050931,112508112,105.0,108.0,105.0,108.0,4.5,840,0,Investment_Trust,0,,,,,
2025-02-10,8932,1050931,112508112,105.0,108.0,105.0,108.0,4.5,840,83000,Dealer_Hedging,46447,,,,,
2025-02-11,8932,660210,70648639,108.5,108.5,105.5,106.5,-1.5,547,10999,Dealer_Hedging,46604,,,,,
2025-02-11,8932,660210,70648639,108.5,108.5,105.5,106.5,-1.5,547,0,Investment_Trust,0,,,,,
2025-02-11,8932,660210,70648639,108.5,108.5,105.5,106.5,-1.5,547,9000,Dealer_self,0,,,,,
2025-02-11,8932,660210,70648639,108.5,108.5,105.5,106.5,-1.5,547,0,Foreign_Dealer_Self,0,,,,,
2025-02-11,8932,660210,70648639,108.5,108.5,105.5,106.5,-1.5,547,111000,Foreign_Investor,258000,,,,,
2025-02-12,8932,887358,91453775,106.0,107.0,101.0,101.5,-5.0,677,203000,Foreign_Investor,317000,,,,,
2025-02-12,8932,887358,91453775,106.0,107.0,101.0,101.5,-5.0,677,0,Foreign_Dealer_Self,0,,,,,
2025-02-12,8932,887358,91453775,106.0,107.0,101.0,101.5,-5.0,677,0,Investment_Trust,0,,,,,
2025-02-12,8932,887358,91453775,106.0,107.0,101.0,101.5,-5.0,677,0,Dealer_self,0,,,,,
2025-02-12,8932,887358,91453775,106.0,107.0,101.0,101.5,-5.0,677,43266,Dealer_Hedging,208053,,,,,
2025-02-13,8932,421767,42783004,102.0,103.0,100.5,100.5,-1.0,348,37000,Foreign_Investor,120000,,,,,
2025-02-13,8932,421767,42783004,102.0,103.0,100.5,100.5,-1.0,348,0,Foreign_Dealer_Self,0,,,,,
2025-02-13,8932,421767,42783004,102.0,103.0,100.5,100.5,-1.0,348,0,Investment_Trust,0,,,,,
2025-02-13,8932,421767,42783004,102.0,103.0,100.5,100.5,-1.0,348,0,Dealer_self,0,,,,,
2025-02-13,8932,421767,42783004,102.0,103.0,100.5,100.5,-1.0,348,1000,Dealer_Hedging,26471,,,,,
2025-02-14,8932,366671,37140403,101.0,102.5,100.0,100.5,0.0,213,0,Dealer_self,0,,,,,
2025-02-14,8932,366671,37140403,101.0,102.5,100.0,100.5,0.0,213,0,Investment_Trust,0,,,,,
2025-02-14,8932,366671,37140403,101.0,102.5,100.0,100.5,0.0,213,40000,Dealer_Hedging,60659,,,,,
2025-02-14,8932,366671,37140403,101.0,102.5,100.0,100.5,0.0,213,15000,Foreign_Investor,153000,,,,,
2025-02-14,8932,366671,37140403,101.0,102.5,100.0,100.5,0.0,213,0,Foreign_Dealer_Self,0,,,,,
2025-02-17,8932,641854,64185332,100.0,101.0,99.3,99.9,-0.6,306,71000,Foreign_Investor,236000,,,,,
2025-02-17,8932,641854,64185332,100.0,101.0,99.3,99.9,-0.6,306,0,Foreign_Dealer_Self,0,,,,,
2025-02-17,8932,641854,64185332,100.0,101.0,99.3,99.9,-0.6,306,0,Investment_Trust,0,,,,,
2025-02-17,8932,641854,64185332,100.0,101.0,99.3,99.9,-0.6,306,0,Dealer_self,0,,,,,
2025-02-17,8932,641854,64185332,100.0,101.0,99.3,99.9,-0.6,306,227290,Dealer_Hedging,13600,,,,,
2025-02-18,8932,569250,56650881,99.5,101.0,98.9,100.0,0.1,396,15000,Dealer_Hedging,9000,,,,,
2025-02-18,8932,569250,56650881,99.5,101.0,98.9,100.0,0.1,396,0,Dealer_self,0,,,,,
2025-02-18,8932,569250,56650881,99.5,101.0,98.9,100.0,0.1,396,0,Investment_Trust,0,,,,,
2025-02-18,8932,569250,56650881,99.5,101.0,98.9,100.0,0.1,396,160000,Foreign_Investor,284000,,,,,
2025-02-18,8932,569250,56650881,99.5,101.0,98.9,100.0,0.1,396,0,Foreign_Dealer_Self,0,,,,,
2025-02-19,8932,259804,26334612,99.9,103.0,99.8,101.5,0.0,280,88000,Foreign_Investor,63523,,,,,
2025-02-19,8932,259804,26334612,99.9,103.0,99.8,101.5,0.0,280,0,Foreign_Dealer_Self,0,,,,,
2025-02-19,8932,259804,26334612,99.9,103.0,99.8,101.5,0.0,280,0,Investment_Trust,0,,,,,
2025-02-19,8932,259804,26334612,99.9,103.0,99.8,101.5,0.0,280,0,Dealer_self,0,,,,,
2025-02-19,8932,259804,26334612,99.9,103.0,99.8,101.5,0.0,280,28000,Dealer_Hedging,2387,,,,,
2025-02-20,8932,224980,22913551,101.5,102.5,101.0,102.0,0.5,191,0,Dealer_self,0,,,,,
2025-02-20,8932,224980,22913551,101.5,102.5,101.0,102.0,0.5,191,0,Investment_Trust,0,,,,,
2025-02-20,8932,224980,22913551,101.5,102.5,101.0,102.0,0.5,191,22823,Dealer_Hedging,3934,,,,,
2025-02-20,8932,224980,22913551,101.5,102.5,101.0,102.0,0.5,191,66000,Foreign_Investor,71000,,,,,
2025-02-20,8932,224980,22913551,101.5,102.5,101.0,102.0,0.5,191,0,Foreign_Dealer_Self,0,,,,,
2025-02-21,8932,558750,57881444,102.0,105.0,101.0,104.5,2.5,387,208859,Foreign_Investor,52000,,,,,
2025-02-21,8932,558750,57881444,102.0,105.0,101.0,104.5,2.5,387,0,Foreign_Dealer_Self,0,,,,,
2025-02-21,8932,558750,57881444,102.0,105.0,101.0,104.5,2.5,387,0,Investment_Trust,0,,,,,
2025-02-21,8932,558750,57881444,102.0,105.0,101.0,104.5,2.5,387,0,Dealer_self,0,,,,,
2025-02-21,8932,558750,57881444,102.0,105.0,101.0,104.5,2.5,387,191549,Dealer_Hedging,6171,,,,,
2025-02-24,8932,395500,41035329,105.0,105.5,101.5,103.5,-1.0,327,47000,Dealer_Hedging,19498,,,,,
2025-02-24,8932,395500,41035329,105.0,105.5,101.5,103.5,-1.0,327,0,Dealer_self,7000,,,,,
2025-02-24,8932,395500,41035329,105.0,105.5,101.5,103.5,-1.0,327,48000,Foreign_Investor,133000,,,,,
2025-02-24,8932,395500,41035329,105.0,105.5,101.5,103.5,-1.0,327,0,Foreign_Dealer_Self,0,,,,,
2025-02-24,8932,395500,41035329,105.0,105.5,101.5,103.5,-1.0,327,0,Investment_Trust,0,,,,,
2025-02-25,8932,719418,73344842,103.5,105.0,100.0,101.5,-2.0,521,134000,Foreign_Investor,301000,,,,,
2025-02-25,8932,719418,73344842,103.5,105.0,100.0,101.5,-2.0,521,0,Foreign_Dealer_Self,0,,,,,
2025-02-25,8932,719418,73344842,103.5,105.0,100.0,101.5,-2.0,521,0,Investment_Trust,0,,,,,
2025-02-25,8932,719418,73344842,103.5,105.0,100.0,101.5,-2.0,521,0,Dealer_self,0,,,,,
2025-02-25,8932,719418,73344842,103.5,105.0,100.0,101.5,-2.0,521,21000,Dealer_Hedging,75852,,,,,
2025-02-26,8932,335373,34148452,101.5,103.0,101.0,101.5,0.0,556,0,Dealer_self,0,,,,,
2025-02-26,8932,335373,34148452,101.5,103.0,101.0,101.5,0.0,556,22000,Dealer_Hedging,72392,,,,,
2025-02-26,8932,335373,34148452,101.5,103.0,101.0,101.5,0.0,556,0,Investment_Trust,0,,,,,
2025-02-26,8932,335373,34148452,101.5,103.0,101.0,101.5,0.0,556,64000,Foreign_Investor,106000,,,,,
2025-02-26,8932,335373,34148452,101.5,103.0,101.0,101.5,0.0,556,0,Foreign_Dealer_Self,0,,,,,
2025-02-27,8932,645253,64800202,102.0,103.0,99.6,99.6,-1.9,394,49000,Foreign_Investor,130000,,,,,
2025-02-27,8932,645253,64800202,102.0,103.0,99.6,99.6,-1.9,394,0,Foreign_Dealer_Self,0,,,,,
