date,stock_id,open,high,low,close,volume,turnover,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2025-05-14,2379,527.0,527.0,519.0,520.0,2561141,1336194107,0.0,0.0,0.0,0.0
2025-05-14,2383,688.0,696.0,677.0,687.0,5961660,4100064833,0.0,0.0,0.0,0.0
2025-05-14,2454,1370.0,1375.0,1345.0,1360.0,6786896,9238538490,0.0,0.0,0.0,0.0
2025-05-14,3035,189.0,191.0,188.0,189.5,4949438,937870753,0.0,0.0,0.0,0.0
2025-05-14,3293,895.0,895.0,876.0,881.0,2790546,2467453261,0.0,0.0,0.0,0.0
2025-05-14,3535,35.05,35.3,34.7,35.2,916833,32059459,0.0,0.0,0.0,0.0
2025-05-14,6231,250.0,254.0,246.0,247.0,819198,204301592,0.0,0.0,0.0,0.0
2025-05-14,6643,540.0,570.0,540.0,565.0,1328859,743415880,0.0,0.0,0.0,0.0
2025-05-14,8358,54.2,54.5,53.6,54.5,2086339,112882872,0.0,0.0,0.0,0.0
2025-05-14,8932,99.8,101.5,98.6,100.0,3356582,332920312,0.0,0.0,0.0,0.0
2025-05-15,1519,490.0,500.0,483.0,495.0,3744254,1844238722,0.0,0.0,0.0,0.0
2025-05-15,2308,374.0,376.0,368.0,370.5,5816005,2157369149,0.0,0.0,0.0,0.0
2025-05-15,2344,18.45,18.9,17.9,18.1,134611568,2468870683,0.0,0.0,0.0,0.0
2025-05-15,2379,521.0,527.0,516.0,517.0,2980374,1547118597,0.0,0.0,0.0,0.0
2025-05-15,2383,683.0,690.0,678.0,685.0,3301070,2255356119,0.0,0.0,0.0,0.0
2025-05-15,2454,1365.0,1380.0,1350.0,1370.0,5860573,8027559070,0.0,0.0,0.0,0.0
2025-05-15,3035,191.5,191.5,187.0,187.5,3569394,672909351,0.0,0.0,0.0,0.0
2025-05-15,3293,878.0,881.0,861.0,861.0,2274141,1972523401,0.0,0.0,0.0,0.0
2025-05-15,3535,35.15,35.25,34.25,34.25,452319,15637317,0.0,0.0,0.0,0.0
