date,stock_id,volume,turnover,open,high,low,close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2024-09-27,2344,36237098,776436932,21.3,21.55,21.25,21.45,0.55,9810,0.0,0.0,0.0,0.0
2024-09-27,2379,2651472,1307509100,497.0,497.0,490.0,494.0,3.0,2815,0.0,0.0,0.0,0.0
2024-09-27,2383,3429042,1605203295,471.5,474.5,464.0,468.0,2.0,4113,0.0,0.0,0.0,0.0
2024-09-27,2454,9319433,11879994727,1280.0,1305.0,1250.0,1260.0,-10.0,15498,0.0,0.0,0.0,0.0
2024-09-27,3035,6643988,1804584388,267.0,274.5,267.0,268.0,3.5,6298,0.0,0.0,0.0,0.0
2024-09-27,3293,7166000,7120424000,997.0,1025.0,968.0,969.0,-21.0,6031,0.0,0.0,0.0,0.0
2024-09-27,3535,5809992,367168798,64.2,65.0,61.6,62.3,-1.5,3936,0.0,0.0,0.0,0.0
2024-09-27,6231,302000,155376000,518.0,525.0,508.0,508.0,-7.0,270,0.0,0.0,0.0,0.0
2024-09-27,6643,206000,166601000,807.0,820.0,799.0,818.0,43.0,194,0.0,0.0,0.0,0.0
2024-09-27,8358,1181000,73441200,62.5,62.7,61.7,62.0,0.3,825,0.0,0.0,0.0,0.0
2024-09-27,8932,344000,29834700,86.6,88.5,85.8,86.7,-0.2,215,0.0,0.0,0.0,0.0
2024-09-30,1519,8229916,5338267544,668.0,677.0,628.0,629.0,-31.0,16292,0.0,0.0,0.0,0.0
2024-09-30,2308,8858681,3422312606,389.5,395.0,380.5,380.5,-19.5,11650,0.0,0.0,0.0,0.0
2024-09-30,2344,31467127,675846173,21.2,21.75,21.15,21.35,-0.1,12044,0.0,0.0,0.0,0.0
2024-09-30,2379,2919981,1400900108,488.0,489.5,471.0,471.0,-23.0,3364,0.0,0.0,0.0,0.0
2024-09-30,2383,5384339,2443597309,466.5,466.5,445.0,447.0,-21.0,8659,0.0,0.0,0.0,0.0
2024-09-30,2454,8944466,10742053380,1235.0,1235.0,1175.0,1175.0,-85.0,21604,0.0,0.0,0.0,0.0
2024-09-30,3035,3851019,1032628526,265.0,272.5,263.5,266.0,-2.0,3721,0.0,0.0,0.0,0.0
2024-09-30,3293,4404000,4351464000,975.0,1005.0,953.0,986.0,17.0,3888,0.0,0.0,0.0,0.0
2024-09-30,3535,1376037,84501615,61.8,62.3,60.9,61.2,-1.1,1352,0.0,0.0,0.0,0.0
2024-09-30,6231,320000,165876000,502.0,525.0,502.0,519.0,11.0,301,0.0,0.0,0.0,0.0
2024-09-30,6643,100000,82420000,808.0,834.0,808.0,823.0,5.0,99,0.0,0.0,0.0,0.0
2024-09-30,8358,1004000,61539000,62.0,62.0,61.0,61.1,-0.9,646,0.0,0.0,0.0,0.0
2024-09-30,8932,240000,20703800,86.2,87.0,85.7,86.0,-0.7,161,0.0,0.0,0.0,0.0
2024-10-01,1519,5145132,3284925804,635.0,651.0,622.0,649.0,20.0,6716,0.0,0.0,0.0,0.0
2024-10-01,2308,5988958,2295918032,379.5,388.0,379.5,384.5,4.0,5757,0.0,0.0,0.0,0.0
2024-10-01,2344,20264517,426642897,21.35,21.45,20.9,21.0,-0.35,8003,0.0,0.0,0.0,0.0
2024-10-01,2379,2119158,1005312911,471.5,479.0,471.0,473.5,2.5,2687,0.0,0.0,0.0,0.0
2024-10-01,2383,7315793,3237158223,451.5,456.5,437.5,442.0,-5.0,9181,0.0,0.0,0.0,0.0
2024-10-01,2454,6670719,8060023400,1195.0,1230.0,1190.0,1210.0,35.0,8267,0.0,0.0,0.0,0.0
2024-10-01,3035,3808283,1005320825,269.5,270.0,260.0,262.0,-4.0,4786,0.0,0.0,0.0,0.0
2024-10-01,3293,3968000,4013782000,999.0,1025.0,997.0,1020.0,34.0,3156,0.0,0.0,0.0,0.0
2024-10-01,3535,1802473,109720603,61.8,62.3,60.3,60.4,-0.8,1688,0.0,0.0,0.0,0.0
2024-10-01,6231,2363000,1242543000,520.0,546.0,502.0,511.0,-8.0,2184,0.0,0.0,0.0,0.0
2024-10-01,6643,95000,78711000,826.0,832.0,823.0,832.0,9.0,84,0.0,0.0,0.0,0.0
2024-10-01,8358,1457000,88265700,61.2,61.4,60.2,60.7,-0.4,880,0.0,0.0,0.0,0.0
2024-10-01,8932,322000,27912400,85.7,87.2,85.7,86.7,0.7,216,0.0,0.0,0.0,0.0
2024-10-04,1519,4272681,2704171306,644.0,646.0,624.0,631.0,-18.0,7404,0.0,0.0,0.0,0.0
2024-10-04,2308,19998727,7389963712,372.0,376.5,366.0,366.0,-18.5,26214,0.0,0.0,0.0,0.0
2024-10-04,2344,18097053,377884756,21.0,21.25,20.7,20.85,-0.15,6453,0.0,0.0,0.0,0.0
2024-10-04,2379,3085803,1475403057,472.0,484.5,472.0,481.0,7.5,3042,0.0,0.0,0.0,0.0
2024-10-04,2383,12527939,5276135976,442.0,442.0,413.0,414.5,-27.5,17287,0.0,0.0,0.0,0.0
2024-10-04,2454,7601314,9294983046,1200.0,1240.0,1200.0,1230.0,20.0,8311,0.0,0.0,0.0,0.0
2024-10-04,3035,2265811,590908351,260.5,263.5,257.5,260.0,-2.0,2704,0.0,0.0,0.0,0.0
2024-10-04,3293,5918000,5806858000,1020.0,1025.0,961.0,968.0,-52.0,5096,0.0,0.0,0.0,0.0
2024-10-04,3535,5268694,301146786,59.5,59.5,56.3,56.4,-4.0,3494,0.0,0.0,0.0,0.0
2024-10-04,6231,2022000,1016421000,515.0,532.0,486.0,486.5,-24.5,1844,0.0,0.0,0.0,0.0
2024-10-04,6643,49000,40921000,839.0,839.0,832.0,834.0,2.0,48,0.0,0.0,0.0,0.0
2024-10-04,8358,1083000,65136400,60.7,60.9,59.8,59.9,-0.8,679,0.0,0.0,0.0,0.0
2024-10-04,8932,272000,23498900,86.1,86.9,85.9,86.2,-0.5,181,0.0,0.0,0.0,0.0
2024-10-07,1519,5363678,3499147505,635.0,666.0,631.0,654.0,23.0,6903,0.0,0.0,0.0,0.0
2024-10-07,2308,16223402,5987231615,371.5,377.5,363.5,372.5,6.5,15544,0.0,0.0,0.0,0.0
2024-10-07,2344,14652859,303325706,20.95,21.0,20.55,20.7,-0.15,5572,0.0,0.0,0.0,0.0
2024-10-07,2379,2104374,1003670604,477.5,483.5,472.5,479.5,-1.5,2591,0.0,0.0,0.0,0.0
2024-10-07,2383,5625265,2404226391,418.5,433.0,416.5,431.5,17.0,6083,0.0,0.0,0.0,0.0
2024-10-07,2454,9261022,11611379170,1250.0,1295.0,1230.0,1250.0,20.0,14015,0.0,0.0,0.0,0.0
2024-10-07,3035,1909644,501876656,263.0,264.5,260.0,264.0,4.0,3288,0.0,0.0,0.0,0.0
2024-10-07,3293,2543000,2461478000,978.0,980.0,960.0,963.0,-5.0,2284,0.0,0.0,0.0,0.0
2024-10-07,3535,3295045,186300862,58.1,58.1,55.2,56.9,0.5,2401,0.0,0.0,0.0,0.0
2024-10-07,6231,2044000,1058727500,493.0,535.0,490.0,531.0,44.5,1770,0.0,0.0,0.0,0.0
2024-10-07,6643,63000,52372000,834.0,834.0,826.0,832.0,-2.0,63,0.0,0.0,0.0,0.0
2024-10-07,8358,558000,33815400,60.2,60.8,60.2,60.8,0.9,393,0.0,0.0,0.0,0.0
2024-10-07,8932,253000,21782800,86.0,86.5,85.4,85.9,-0.3,132,0.0,0.0,0.0,0.0
2024-10-08,1519,5509242,3443225568,644.0,648.0,616.0,617.0,-37.0,17035,0.0,0.0,0.0,0.0
2024-10-08,2308,10805050,4068450479,371.0,382.0,370.0,382.0,9.5,8893,0.0,0.0,0.0,0.0
2024-10-08,2344,19308868,394719640,20.7,20.8,20.3,20.35,-0.35,7039,0.0,0.0,0.0,0.0
2024-10-08,2379,2764827,1311401453,475.0,479.0,472.0,474.0,-5.5,2649,0.0,0.0,0.0,0.0
2024-10-08,2383,4989440,2144532516,433.0,435.5,422.0,433.0,1.5,5710,0.0,0.0,0.0,0.0
2024-10-08,2454,4746298,5848883970,1240.0,1250.0,1225.0,1225.0,-25.0,7199,0.0,0.0,0.0,0.0
2024-10-08,3035,4826487,1238304144,262.0,262.0,252.0,261.0,-3.0,5386,0.0,0.0,0.0,0.0
2024-10-08,3293,2274000,2173625000,964.0,974.0,946.0,952.0,-11.0,2016,0.0,0.0,0.0,0.0
2024-10-08,3535,1486334,82655358,56.4,56.4,55.2,55.3,-1.6,1698,0.0,0.0,0.0,0.0
2024-10-08,6231,2234000,1136677000,525.0,536.0,490.5,517.0,-14.0,2036,0.0,0.0,0.0,0.0
2024-10-08,6643,61000,50363000,818.0,832.0,810.0,832.0,0.0,55,0.0,0.0,0.0,0.0
2024-10-08,8358,685000,41235500,60.5,60.8,59.9,60.1,-0.7,434,0.0,0.0,0.0,0.0
2024-10-08,8932,425000,36420700,85.8,86.5,85.0,85.5,-0.4,349,0.0,0.0,0.0,0.0
2024-10-09,1519,4352575,2704852375,626.0,633.0,615.0,615.0,-2.0,5055,0.0,0.0,0.0,0.0
2024-10-09,2308,9432998,3610184958,387.0,387.5,379.0,381.5,-0.5,8296,0.0,0.0,0.0,0.0
2024-10-09,2344,15487211,315559281,20.6,20.65,20.25,20.25,-0.1,6081,0.0,0.0,0.0,0.0
2024-10-09,2379,2560730,1239418328,480.0,492.0,478.5,480.0,6.0,2877,0.0,0.0,0.0,0.0
2024-10-09,2383,7203650,3046933212,435.0,436.0,417.0,419.0,-14.0,10445,0.0,0.0,0.0,0.0
2024-10-09,2454,5671636,7099612015,1260.0,1275.0,1240.0,1245.0,20.0,7683,0.0,0.0,0.0,0.0
2024-10-09,3035,3178046,839265878,263.5,269.0,259.0,259.0,-2.0,3729,0.0,0.0,0.0,0.0
2024-10-09,3293,2265000,2206230000,966.0,983.0,957.0,974.0,22.0,2072,0.0,0.0,0.0,0.0
2024-10-09,3535,2713258,147424671,55.4,56.2,53.6,53.7,-1.6,2057,0.0,0.0,0.0,0.0
2024-10-09,6231,2421000,1228428500,525.0,534.0,493.0,504.0,-13.0,2144,0.0,0.0,0.0,0.0
2024-10-09,6643,1117000,961190000,850.0,886.0,841.0,849.0,17.0,1057,0.0,0.0,0.0,0.0
2024-10-09,8358,1187000,70975400,60.4,60.8,59.3,59.6,-0.5,794,0.0,0.0,0.0,0.0
2024-10-09,8932,460000,39514900,85.5,86.9,85.3,86.9,1.4,358,0.0,0.0,0.0,0.0
2024-10-11,1519,4219390,2566794003,620.0,626.0,600.0,601.0,-14.0,7449,0.0,0.0,0.0,0.0
2024-10-11,2308,5922762,2263075134,381.0,386.5,378.5,380.0,-1.5,6434,0.0,0.0,0.0,0.0
2024-10-11,2344,23298189,468662828,20.35,20.35,20.05,20.05,-0.2,8788,0.0,0.0,0.0,0.0
2024-10-11,2379,1171450,567725066,480.0,489.0,478.0,483.5,3.5,1762,0.0,0.0,0.0,0.0
2024-10-11,2383,5516131,2293861957,420.5,421.0,411.5,416.0,-3.0,7595,0.0,0.0,0.0,0.0
2024-10-11,2454,10811730,13968305075,1265.0,1310.0,1265.0,1300.0,55.0,22160,0.0,0.0,0.0,0.0
2024-10-11,3035,4118476,1095325674,264.0,269.0,259.5,267.5,8.5,7465,0.0,0.0,0.0,0.0
2024-10-11,3293,6026000,6173291000,983.0,1065.0,976.0,1050.0,76.0,4999,0.0,0.0,0.0,0.0
2024-10-11,3535,6024705,310494555,49.05,53.7,49.05,52.0,-1.7,3984,0.0,0.0,0.0,0.0
2024-10-11,6231,1336000,677803500,503.0,523.0,496.0,499.5,-4.5,1203,0.0,0.0,0.0,0.0
2024-10-11,6643,1478000,1319655000,858.0,930.0,850.0,876.0,27.0,1400,0.0,0.0,0.0,0.0
2024-10-11,8358,2291000,134225200,59.0,59.2,58.2,58.5,-1.1,1355,0.0,0.0,0.0,0.0
2024-10-11,8932,881000,78357600,87.0,90.1,86.6,89.0,2.1,571,0.0,0.0,0.0,0.0
2024-10-14,1519,4942052,3020348705,608.0,622.0,600.0,615.0,14.0,5845,0.0,0.0,0.0,0.0
2024-10-14,2308,6674065,2570270159,376.5,389.0,376.5,387.5,7.5,6964,0.0,0.0,0.0,0.0
2024-10-14,2344,14643005,293962733,20.15,20.2,20.0,20.1,0.05,5132,0.0,0.0,0.0,0.0
2024-10-14,2379,890833,432193018,484.0,489.5,483.0,485.0,1.5,1412,0.0,0.0,0.0,0.0
2024-10-14,2383,4237820,1771307075,418.5,421.5,414.0,417.5,1.5,4754,0.0,0.0,0.0,0.0
2024-10-14,2454,4125156,5348414625,1310.0,1310.0,1285.0,1290.0,-10.0,7589,0.0,0.0,0.0,0.0
2024-10-14,3035,5309019,1437455034,264.5,274.0,264.5,274.0,6.5,8067,0.0,0.0,0.0,0.0
2024-10-14,3293,3197000,3322605000,1035.0,1080.0,1000.0,1080.0,30.0,2451,0.0,0.0,0.0,0.0
2024-10-14,3535,2804076,144280167,52.0,52.4,50.4,52.4,0.4,2135,0.0,0.0,0.0,0.0
