date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ret_1d,ret_5d,ret_20d
2025-06-10,3293,1223377,1048195640,850.0,861.0,850.0,860.0,12.0,3639,0.014150943396226356,0.033653846153846256,-0.0034762456546929554
2025-06-11,3293,2082576,1818401052,862.0,879.0,862.0,873.0,13.0,6296,0.015116279069767424,0.043010752688172005,-0.016891891891891886
2025-06-12,3293,1062576,927426970,869.0,878.0,867.0,878.0,5.0,3943,0.00572737686139746,0.011520737327188835,-0.0034052213393870323
2025-06-13,3293,1598055,1397273395,881.0,882.0,865.0,875.0,-3.0,4276,-0.003416856492027387,0.03183962264150941,0.016260162601626105
2025-06-16,3293,2914013,2593769196,882.0,895.0,875.0,895.0,20.0,8456,0.02285714285714291,0.05542452830188682,0.02285714285714291
2025-06-17,3293,1654990,1481630040,897.0,906.0,890.0,894.0,-1.0,5182,-0.0011173184357542443,0.03953488372093017,0.04561403508771922
2025-06-18,3293,2160039,1933492826,900.0,912.0,885.0,886.0,-8.0,15909,-0.008948545861297563,0.014891179839633395,0.021914648212226107
2025-06-19,3293,1804611,1585503022,886.0,894.0,868.0,868.0,-18.0,13781,-0.020316027088036148,-0.011389521640091105,0.006960556844547661
2025-06-20,3293,5015868,4418391249,880.0,885.0,866.0,885.0,17.0,4655,0.019585253456221308,0.011428571428571344,0.04363207547169812
2025-06-23,3293,1887773,1632638525,870.0,873.0,856.0,867.0,-18.0,9771,-0.02033898305084747,-0.031284916201117285,0.029691211401425166
2025-06-24,3293,1688446,1465560063,875.0,877.0,862.0,865.0,-2.0,5059,-0.0023068050749711633,-0.032438478747203625,0.027315914489311144
2025-06-25,3293,1093551,952639121,872.0,877.0,863.0,872.0,7.0,3050,0.008092485549132888,-0.015801354401805856,0.03809523809523818
2025-06-26,3293,748444,653735147,876.0,877.0,870.0,875.0,3.0,2601,0.0034403669724769603,0.008064516129032251,0.03062426383981154
