date,stock_id,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2025-06-30,3419,,0.0,430600000.0,-0.67,-81171000.0,,40656000.0,,,-81171000.0,,-81171000.0,,,,0.0,-1000.0,111876000.0,-71221000.0,-65458000.0,,,-81119000.0,,471256000.0,52000.0,-146629000.0,,-9898000.0,
2025-06-30,3450,,-132867000.0,1279330000.0,0.53,77183000.0,,569571000.0,,,132175000.0,,132175000.0,,,,54992000.0,0.0,157546000.0,412025000.0,-344257000.0,,,207406000.0,,1848901000.0,75231000.0,-212082000.0,,-204619000.0,
2025-06-30,3686,,,21032000.0,-0.22,-16427000.0,,-173000.0,,,-16427000.0,,-16427000.0,,,,,,6343000.0,-6516000.0,,,,-16427000.0,,20859000.0,0.0,-16427000.0,,-9911000.0,
2025-06-30,3711,,-1653133000.0,125062803000.0,1.73,7521085000.0,,25687520000.0,,,7678678000.0,,7678678000.0,,,,157593000.0,,15494438000.0,10193082000.0,-27942352000.0,,,9254482000.0,,150750323000.0,1575804000.0,-20263674000.0,,-938600000.0,
2025-06-30,4536,,-12989000.0,1559651000.0,3.11,282455000.0,,954641000.0,,,320302000.0,,320302000.0,,,,37847000.0,,371255000.0,583386000.0,-555754000.0,,,492830000.0,,2514292000.0,172528000.0,-235452000.0,,-90556000.0,
2025-06-30,4722,,,819329000.0,0.01,1690000.0,,154129000.0,,,1690000.0,,1690000.0,,,,,,93760000.0,60369000.0,-55089000.0,,,6152000.0,,973458000.0,4462000.0,-53399000.0,,-54217000.0,
2025-06-30,4755,,-1259000.0,973740000.0,0.34,34469000.0,,270888000.0,,,33210000.0,,33210000.0,,,,-1259000.0,,125596000.0,145292000.0,-224990000.0,,,52677000.0,,1244628000.0,19467000.0,-191780000.0,,-92615000.0,
2025-06-30,5469,,-1931193000.0,12306454000.0,1.15,555361000.0,,3257021000.0,,,952825000.0,,952825000.0,,,,397464000.0,,1276758000.0,1980263000.0,-6869259000.0,,,1578068000.0,,15563475000.0,625243000.0,-5916434000.0,,-402195000.0,
2025-06-30,6116,,0.0,3452758000.0,-0.31,-904774000.0,,-451202000.0,,,-904774000.0,,-904774000.0,,,,0.0,,302925000.0,-754127000.0,-710672000.0,,,-891885000.0,,3001556000.0,12889000.0,-1615446000.0,,-137758000.0,
2025-06-30,6515,,,776748000.0,5.76,204958000.0,,745541000.0,,,204958000.0,,204958000.0,,,,,,285537000.0,460004000.0,-38805000.0,,,264951000.0,,1522289000.0,59993000.0,166153000.0,,-195053000.0,
2025-06-30,6719,,,793487000.0,0.41,42809000.0,,433698000.0,,,42809000.0,,42809000.0,,,,,,234440000.0,199258000.0,-31186000.0,,,51889000.0,,1227185000.0,9080000.0,11623000.0,,-147369000.0,
2025-06-30,6768,,0.0,4105031000.0,1.75,351229000.0,,1168237000.0,,,351229000.0,,351229000.0,,,,0.0,,594138000.0,574099000.0,-1765180000.0,,,503518000.0,,5273268000.0,152289000.0,-1413951000.0,,-70581000.0,
2025-06-30,6770,,,12299949000.0,-0.8,-3333591000.0,,-1021981000.0,,,-3333591000.0,,-3333591000.0,,,,,1279739000.0,1954193000.0,-1696435000.0,-1221000.0,,,-3225624000.0,,11277968000.0,107967000.0,-3334812000.0,,-1529189000.0,
2025-06-30,8046,,,8814108000.0,-0.29,-187429000.0,,768811000.0,,,-187429000.0,,-187429000.0,,,,,,402732000.0,366079000.0,-1765497000.0,,,-226580000.0,,9582919000.0,-39151000.0,-1952926000.0,,-592659000.0,
2025-06-30,8105,,,2103541000.0,-0.67,-295669000.0,,127606000.0,,,-295669000.0,,-295669000.0,,,,,,176072000.0,-48466000.0,-83087000.0,,,-280171000.0,,2231147000.0,15498000.0,-378756000.0,,-231705000.0,
2025-06-30,9955,,0.0,393880000.0,-0.29,-29726000.0,,27395000.0,,,-29726000.0,,-29726000.0,,,,0.0,,34759000.0,-7364000.0,-7944000.0,,,-29722000.0,,421275000.0,4000.0,-37670000.0,,-22358000.0,
