date,stock_id,volume,turnover,open,high,low,close,spread,transactions
2025-07-07,3035,3385130,616418721,184.0,185.0,179.0,183.0,-1.5,3412
2025-07-08,3035,3647442,665821659,182.0,185.0,179.5,183.5,0.5,3010
2025-07-09,3035,5818998,1038841123,179.0,180.5,175.5,179.5,-4.0,5791
2025-07-10,3035,3511336,627164834,180.0,180.0,177.0,177.0,-2.5,3825
2025-07-11,3035,3470915,626358290,178.5,182.5,178.0,179.5,2.5,3216
2025-07-14,3035,2679703,474826438,179.5,180.5,175.5,176.0,-3.5,3348
2025-07-15,3035,2426721,428117370,177.0,177.5,175.5,176.0,0.0,2638
2025-07-16,3035,4039125,724841177,178.5,182.0,178.0,178.0,2.0,3861
2025-07-17,3035,5362511,974905612,179.5,185.0,179.5,181.0,3.0,5364
2025-07-18,3035,3474552,636255782,184.0,184.5,181.0,183.5,2.5,3735
2025-07-21,3035,2096278,383331793,184.0,184.5,181.0,183.0,-0.5,2738
2025-07-22,3035,5191678,932273917,182.0,184.5,176.0,176.5,-6.5,5541
2025-07-23,3035,2957166,533259037,178.0,181.5,178.0,181.5,5.0,3027
2025-07-24,3035,2920792,529204958,183.0,183.0,178.0,182.0,0.5,3516
2025-07-25,3035,2148268,387537674,182.0,183.0,179.0,179.5,-2.5,2307
2025-07-28,3035,1950387,348880642,180.5,181.5,177.0,178.5,-1.0,2119
2025-07-29,3035,4489360,788458689,178.5,178.5,173.0,173.5,-5.0,5694
2025-07-30,3035,16134635,2555771391,162.0,164.0,156.5,157.5,-16.0,17179
2025-07-31,3035,7633430,1170900528,156.0,156.5,152.0,152.5,-5.0,9046
2025-08-01,3035,6247016,967891895,149.0,158.0,149.0,157.0,4.5,6382
2025-08-04,3035,2981457,462022552,155.5,156.5,154.0,155.5,-1.5,3501
2025-08-05,3035,2834353,445463351,157.0,158.0,155.5,158.0,2.5,3075
2025-08-06,3035,2364896,368479912,157.5,158.5,154.5,154.5,-3.5,3184
2025-08-07,3035,2898096,452465754,156.0,157.5,155.0,155.5,1.0,2783
2025-08-08,3035,2238040,348060777,156.0,157.0,154.5,155.0,-0.5,2590
2025-08-11,3035,2014490,311753048,155.5,156.5,153.5,154.0,-1.0,2453
2025-08-12,3035,2390694,372911529,155.0,157.5,154.0,156.5,2.5,3225
2025-08-13,3035,3850314,602654381,157.5,158.5,153.5,155.0,-1.5,4235
2025-08-14,3035,2749715,429101440,155.5,158.5,155.0,155.0,0.0,2599
2025-08-15,3035,1821247,280527745,156.5,156.5,153.0,153.5,-1.5,2321
2025-08-18,3035,2682536,409006401,153.0,154.5,151.5,152.5,-1.0,3477
2025-08-19,3035,2372544,362083637,153.5,154.0,151.0,152.0,-0.5,2577
2025-08-20,3035,19375025,3092335375,155.0,164.0,155.0,157.5,5.5,16590
2025-08-21,3035,6404488,994787978,158.0,158.5,153.5,153.5,-4.0,8999
2025-08-22,3035,5805575,871179914,153.5,153.5,149.0,149.0,-4.5,7193
2025-08-25,3035,4299887,658836571,152.0,155.0,151.5,152.5,3.5,3706
2025-08-26,3035,3473395,532943528,151.5,155.0,151.0,154.0,1.5,3450
2025-08-27,3035,5110225,798804943,155.0,158.0,154.0,157.0,3.0,4336
2025-08-28,3035,3590739,568534873,157.5,159.5,157.0,158.0,1.0,3604
2025-08-29,3035,6146074,984052200,162.0,164.0,157.5,158.0,0.0,5525
2025-09-01,3035,3015690,469595390,158.0,159.0,153.0,153.5,-4.5,3399
2025-09-02,3035,2960780,458557755,156.0,159.0,152.0,152.5,-1.0,3437
2025-09-03,3035,1585259,243674259,153.5,155.0,152.5,153.5,1.0,1696
2025-09-04,3035,1831613,284531855,155.0,156.5,154.0,155.5,2.0,1824
2025-09-05,3035,2243297,351420384,156.0,158.0,155.0,157.5,2.0,2532
2025-09-08,3035,2214563,347923304,157.5,158.5,156.0,156.5,-1.0,2177
2025-09-09,3035,2212919,344863206,157.5,158.0,154.5,155.5,-1.0,2427
2025-09-10,3035,2542126,390945381,156.0,156.0,153.0,153.0,-2.5,3100
2025-09-11,3035,3146413,474835549,153.5,154.5,149.0,149.0,-4.0,4556
2025-09-12,3035,4684042,718540772,150.0,156.5,150.0,151.5,2.5,4132
2025-09-15,3035,2701555,406718164,152.0,153.0,149.0,149.5,-2.0,3306
2025-09-16,3035,1530856,229461570,150.5,150.5,149.0,150.5,1.0,1873
2025-09-17,3035,2536614,382353461,150.5,153.0,149.5,149.5,-1.0,2548
2025-09-18,3035,4373018,673588105,151.0,156.0,149.5,153.5,4.0,4066
2025-09-19,3035,18089802,3048131416,168.5,168.5,168.5,168.5,15.0,6134
