date,stock_id,dividend_yield,PER,PBR
2025-02-25,3149,0.0,0.0,3.18
2025-02-26,3149,0.0,0.0,3.21
2025-02-27,3149,0.0,0.0,3.15
2025-02-28,3149,0.0,0.0,2.87
2025-03-03,3149,0.0,0.0,3.1
2025-03-04,3149,0.0,0.0,3.19
2025-03-05,3149,0.0,0.0,3.26
2025-03-06,3149,0.0,0.0,3.23
2025-03-07,3149,0.0,0.0,3.28
2025-03-10,3149,0.0,0.0,3.29
2025-03-11,3149,0.0,0.0,3.29
2025-03-12,3149,0.0,0.0,3.42
2025-03-13,3149,0.0,0.0,3.53
2025-03-14,3149,0.0,0.0,3.51
2025-03-17,3149,0.0,0.0,3.41
2025-03-18,3149,0.0,0.0,3.43
2025-03-19,3149,0.0,0.0,3.49
2025-03-20,3149,0.0,0.0,3.39
2025-03-21,3149,0.0,0.0,3.33
2025-03-24,3149,0.0,0.0,3.23
2025-03-25,3149,0.0,0.0,3.28
2025-03-26,3149,0.0,0.0,3.29
2025-03-27,3149,0.0,0.0,3.24
2025-03-28,3149,0.0,0.0,3.12
2025-03-31,3149,0.0,0.0,2.89
2025-04-01,3149,0.0,0.0,2.94
2025-04-02,3149,0.0,0.0,3.0
2025-04-07,3149,0.0,0.0,2.7
2025-04-08,3149,0.0,0.0,2.5
2025-04-09,3149,0.0,0.0,2.34
2025-04-10,3149,0.0,0.0,2.57
2025-04-11,3149,0.0,0.0,2.76
2025-04-14,3149,0.0,0.0,2.82
2025-04-15,3149,0.0,0.0,2.87
2025-04-16,3149,0.0,0.0,2.86
2025-04-17,3149,0.0,0.0,2.83
2025-04-18,3149,0.0,0.0,2.85
2025-04-21,3149,0.0,0.0,2.77
2025-04-22,3149,0.0,0.0,3.02
2025-04-23,3149,0.0,0.0,2.99
2025-04-24,3149,0.0,0.0,2.89
2025-04-25,3149,0.0,0.0,2.97
2025-04-28,3149,0.0,0.0,2.92
2025-04-29,3149,0.0,0.0,2.98
2025-04-30,3149,0.0,0.0,2.92
2025-05-02,3149,0.0,0.0,2.95
2025-05-05,3149,0.0,0.0,2.99
2025-05-06,3149,0.0,0.0,2.97
2025-05-07,3149,0.0,0.0,2.97
2025-05-08,3149,0.0,0.0,2.99
2025-05-09,3149,0.0,0.0,2.99
2025-05-12,3149,0.0,0.0,3.28
2025-05-13,3149,0.0,0.0,3.49
2025-05-14,3149,0.0,0.0,4.05
2025-05-15,3149,0.0,0.0,4.09
2025-05-16,3149,0.0,0.0,3.9
2025-05-19,3149,0.0,0.0,3.89
2025-05-20,3149,0.0,0.0,3.67
2025-05-21,3149,0.0,0.0,3.71
2025-05-22,3149,0.0,0.0,3.61
2025-05-23,3149,0.0,0.0,3.65
2025-05-26,3149,0.0,0.0,3.49
2025-05-27,3149,0.0,0.0,3.49
2025-05-28,3149,0.0,0.0,3.47
2025-05-29,3149,0.0,0.0,3.33
2025-06-02,3149,0.0,0.0,3.25
2025-06-03,3149,0.0,0.0,3.33
2025-06-04,3149,0.0,0.0,3.3
2025-06-05,3149,0.0,0.0,3.34
2025-06-06,3149,0.0,0.0,3.56
2025-06-09,3149,0.0,0.0,3.45
2025-06-10,3149,0.0,0.0,3.48
2025-06-11,3149,0.0,0.0,3.5
2025-06-12,3149,0.0,0.0,3.39
2025-06-13,3149,0.0,0.0,3.32
2025-06-16,3149,0.0,0.0,3.29
2025-06-17,3149,0.0,0.0,3.29
2025-06-18,3149,0.0,0.0,3.3
2025-06-19,3149,0.0,0.0,3.18
2025-06-20,3149,0.0,0.0,3.28
2025-06-23,3149,0.0,0.0,3.19
2025-06-24,3149,0.0,0.0,3.5
2025-06-25,3149,0.0,0.0,3.38
2025-06-26,3149,0.0,0.0,3.37
2025-06-27,3149,0.0,0.0,3.39
2025-06-30,3149,0.0,0.0,3.24
2025-07-01,3149,0.0,0.0,3.22
2025-07-02,3149,0.0,0.0,3.22
2025-07-03,3149,0.0,0.0,3.23
2025-07-04,3149,0.0,0.0,3.15
2025-07-07,3149,0.0,0.0,3.12
2025-07-08,3149,0.0,0.0,3.11
2025-07-09,3149,0.0,0.0,3.1
2025-07-10,3149,0.0,0.0,3.1
2025-07-11,3149,0.0,0.0,3.1
2025-07-14,3149,0.0,0.0,3.08
2025-07-15,3149,0.0,0.0,3.08
2025-07-16,3149,0.0,0.0,3.09
2025-07-17,3149,0.0,0.0,3.1
2025-07-18,3149,0.0,0.0,3.08
2025-07-21,3149,0.0,0.0,3.07
2025-07-22,3149,0.0,0.0,3.15
2025-07-23,3149,0.0,0.0,3.15
2025-07-24,3149,0.0,0.0,3.19
2025-07-25,3149,0.0,0.0,3.13
2025-07-28,3149,0.0,0.0,3.17
2025-07-29,3149,0.0,0.0,3.09
2025-07-30,3149,0.0,0.0,3.1
2025-07-31,3149,0.0,0.0,3.1
2025-08-01,3149,0.0,0.0,3.2
2025-08-04,3149,0.0,0.0,3.18
2025-08-05,3149,0.0,0.0,3.23
2025-08-06,3149,0.0,0.0,3.16
2025-08-07,3149,0.0,0.0,2.44
2025-08-08,3149,0.0,0.0,2.53
2025-08-11,3149,0.0,0.0,2.49
2025-08-12,3149,0.0,0.0,2.5
2025-08-13,3149,0.0,0.0,2.59
2025-08-14,3149,0.0,0.0,2.59
2025-08-15,3149,0.0,0.0,2.63
2025-08-18,3149,0.0,0.0,2.8
2025-08-19,3149,0.0,0.0,2.72
2025-08-20,3149,0.0,0.0,2.69
2025-08-21,3149,0.0,0.0,2.8
2025-08-22,3149,0.0,0.0,2.83
2025-08-25,3149,0.0,0.0,2.9
2025-08-26,3149,0.0,0.0,2.86
2025-08-27,3149,0.0,0.0,3.14
2025-08-28,3149,0.0,0.0,3.06
2025-08-29,3149,0.0,0.0,3.13
2025-09-01,3149,0.0,0.0,3.09
2025-09-02,3149,0.0,0.0,3.14
2025-09-03,3149,0.0,0.0,3.14
2025-09-04,3149,0.0,0.0,3.09
2025-09-05,3149,0.0,0.0,3.13
2025-09-08,3149,0.0,0.0,3.13
2025-09-09,3149,0.0,0.0,2.99
2025-09-10,3149,0.0,0.0,2.99
2025-09-11,3149,0.0,0.0,3.0
2025-09-12,3149,0.0,0.0,2.85
2025-09-15,3149,0.0,0.0,2.82
2025-09-16,3149,0.0,0.0,3.09
2025-09-17,3149,0.0,0.0,3.09
2025-09-18,3149,0.0,0.0,3.32
2025-09-19,3149,0.0,0.0,3.33
2025-09-22,3149,0.0,0.0,3.54
2025-09-23,3149,0.0,0.0,3.52
2025-09-24,3149,0.0,0.0,3.4
