date,stock_id,buy,name,sell,foreign,investment_trust,dealer,dealer_self,dealer_hedging
2024-12-11,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-11,1519,0,Investment_Trust,982214,,,,,
2024-12-11,1519,205000,Dealer_self,215168,,,,,
2024-12-11,1519,18000,Dealer_Hedging,36514,,,,,
2024-12-12,1519,9647,Dealer_Hedging,17186,,,,,
2024-12-12,1519,102000,Dealer_self,102997,,,,,
2024-12-12,1519,843525,Foreign_Investor,933272,,,,,
2024-12-12,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-12,1519,0,Investment_Trust,548107,,,,,
2024-12-13,1519,583424,Foreign_Investor,521250,,,,,
2024-12-13,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-13,1519,0,Investment_Trust,17207,,,,,
2024-12-13,1519,31400,Dealer_self,39882,,,,,
2024-12-13,1519,2832,Dealer_Hedging,9607,,,,,
2024-12-16,1519,4699,Dealer_Hedging,3774,,,,,
2024-12-16,1519,38019,Dealer_self,38099,,,,,
2024-12-16,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-16,1519,1000487,Foreign_Investor,1011000,,,,,
2024-12-16,1519,0,Investment_Trust,20107,,,,,
2024-12-17,1519,16229,Dealer_Hedging,3000,,,,,
2024-12-17,1519,819792,Foreign_Investor,1323944,,,,,
2024-12-17,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-17,1519,44013,Investment_Trust,200000,,,,,
2024-12-17,1519,75089,Dealer_self,23847,,,,,
2024-12-18,1519,64000,Investment_Trust,2239,,,,,
2024-12-18,1519,21003,Dealer_self,79026,,,,,
2024-12-18,1519,1800920,Foreign_Investor,1204800,,,,,
2024-12-18,1519,0,Foreign_Dealer_Self,0,,,,,
2024-12-18,1519,44044,Dealer_Hedging,7897,,,,,
2024-12-19,1519,28060,Dealer_Hedging,18981,,,,,
2024-12-19,1519,10188,Dealer_self,16438,,,,,
2024-12-19,1519,957673,Foreign_Investor,1185175,,,,,
2024-12-19,1519,0,Foreign_Dealer_Self,0,,,,,
