date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-07-09,2855,5274237,98711122,19.0,19.0,18.6,18.7,-0.3,2877
2025-07-10,2855,3289868,61110185,18.65,18.7,18.45,18.6,-0.1,1956
2025-07-11,2855,3329098,63062924,18.75,19.1,18.7,19.05,0.45,1669
2025-07-14,2855,2691712,50648268,19.15,19.15,18.65,18.75,-0.3,1752
2025-07-15,2855,1093574,20576895,18.8,18.9,18.7,18.85,0.1,710
2025-07-16,2855,1974589,37212894,18.85,18.95,18.7,18.9,0.05,943
2025-07-17,2855,2154863,41232078,18.9,19.25,18.9,19.2,0.3,878
2025-07-18,2855,1377483,26357424,19.2,19.35,19.05,19.15,-0.05,787
2025-07-21,2855,825204,15826004,19.1,19.25,19.1,19.15,0.0,476
2025-07-22,2855,1519613,28874908,19.2,19.2,18.85,18.9,-0.25,973
2025-07-23,2855,1099620,21066675,18.9,19.25,18.9,19.15,0.25,488
2025-07-24,2855,772713,14790430,19.15,19.3,19.05,19.15,0.0,431
2025-07-25,2855,1118707,21428804,19.25,19.25,19.1,19.2,0.05,514
2025-07-28,2855,817016,15703398,19.2,19.3,19.1,19.2,0.0,422
2025-07-29,2855,1372479,26052515,19.2,19.2,18.85,18.9,-0.3,764
2025-07-30,2855,738466,14003107,18.95,19.05,18.9,18.95,0.05,528
2025-07-31,2855,1187711,22427183,19.0,19.0,18.8,18.9,-0.05,579
2025-08-01,2855,1824629,34857068,18.85,19.3,18.7,19.15,0.25,628
2025-08-04,2855,1137733,21824446,19.0,19.3,18.9,19.15,0.0,526
2025-08-05,2855,1596180,30811844,19.25,19.4,19.2,19.25,0.1,585
2025-08-06,2855,1443418,28021241,19.25,19.55,19.25,19.5,0.25,693
2025-08-07,2855,2902281,57724051,19.65,20.15,19.65,20.05,0.55,1435
2025-08-08,2855,2454259,49784214,20.1,20.45,20.1,20.15,0.1,1040
2025-08-11,2855,1216544,24632065,20.15,20.35,20.0,20.25,0.1,661
2025-08-12,2855,2843072,57738180,20.25,20.4,20.2,20.3,0.05,1533
2025-08-13,2855,2746587,55959920,20.35,20.5,20.25,20.35,0.05,1340
2025-08-14,2855,3707043,76665318,20.35,20.9,20.35,20.8,0.45,1738
2025-08-15,2855,3838628,80271652,20.9,21.05,20.65,20.95,0.15,1883
2025-08-18,2855,2478245,51517900,20.9,20.95,20.65,20.75,-0.2,1908
2025-08-19,2855,1324670,27487615,20.8,20.85,20.65,20.7,-0.05,772
2025-08-20,2855,2459991,50329975,20.6,20.7,20.35,20.35,-0.35,1248
2025-08-21,2855,1655563,34149804,20.4,20.8,20.4,20.7,0.35,734
2025-08-22,2855,1054894,21671079,20.55,20.7,20.45,20.6,-0.1,755
2025-08-25,2855,1306451,27144032,20.8,20.85,20.7,20.75,0.15,669
2025-08-26,2855,990405,20369010,20.7,20.7,20.5,20.5,-0.25,806
2025-08-27,2855,781731,16123955,20.65,20.7,20.45,20.6,0.1,557
2025-08-28,2855,1806873,37415337,20.55,20.8,20.5,20.6,0.0,847
2025-08-29,2855,2134506,44419041,20.7,20.9,20.7,20.85,0.25,982
2025-09-01,2855,1306921,27039415,20.85,20.9,20.6,20.65,-0.2,864
2025-09-02,2855,1552926,32318953,20.65,20.9,20.65,20.8,0.15,778
2025-09-03,2855,1157710,24040524,20.75,20.85,20.7,20.8,0.0,605
2025-09-04,2855,2611891,54796932,20.8,21.05,20.8,21.05,0.25,1135
2025-09-05,2855,3903097,84223671,21.6,21.85,21.45,21.55,0.5,1959
2025-09-08,2855,2178774,47202619,21.7,21.75,21.5,21.65,0.1,984
2025-09-09,2855,3932316,86346339,21.65,22.1,21.65,22.1,0.45,1847
2025-09-10,2855,4188492,93606991,22.25,22.5,22.05,22.4,0.3,1862
2025-09-11,2855,5310358,119064734,22.5,22.55,22.3,22.4,0.0,2827
2025-09-12,2855,5058774,115373102,22.6,22.95,22.6,22.75,0.35,2513
2025-09-15,2855,4052731,92296093,22.75,22.95,22.65,22.8,0.05,1650
2025-09-16,2855,2825157,63766174,22.8,22.8,22.4,22.6,-0.2,1560
2025-09-17,2855,2726554,60890758,22.6,22.6,22.15,22.3,-0.3,2323
2025-09-18,2855,2023816,45633332,22.35,22.75,22.35,22.7,0.4,1031
2025-09-19,2855,1734849,39250659,22.65,22.75,22.5,22.6,-0.1,1013
2025-09-22,2855,2102471,47616920,22.6,22.75,22.55,22.7,0.1,1050
2025-09-23,2855,4685677,107752891,22.7,23.15,22.7,23.0,0.3,2039
2025-06-25,3231,123090890,15322481945,122.5,126.5,121.5,125.5,5.5,61152
2025-06-26,3231,63202981,7913372619,127.0,127.0,123.5,125.0,-0.5,30221
2025-06-27,3231,62641467,7615947351,125.0,125.5,120.5,121.0,-4.0,32817
2025-06-30,3231,28775594,3513859180,122.5,123.0,121.0,122.5,1.5,14502
2025-07-01,3231,51819223,6244493363,122.5,123.5,119.0,120.0,-2.5,29694
2025-07-02,3231,18278024,2194645459,120.0,121.0,119.5,120.0,0.0,10356
2025-07-03,3231,19888048,2404022301,121.5,122.0,120.0,121.0,1.0,11673
2025-07-04,3231,35390604,4227946321,121.5,122.0,119.0,119.0,-2.0,15403
2025-07-07,3231,23859690,2803280939,119.0,119.0,116.5,118.0,-1.0,13380
2025-07-08,3231,31219672,3660710871,117.5,119.0,116.0,118.5,0.5,16306
2025-07-09,3231,37815217,4539810301,120.5,121.0,119.0,120.5,2.0,19977
2025-07-10,3231,18942734,2279431748,121.0,121.5,119.5,120.0,-0.5,12042
2025-07-11,3231,15698791,1877101196,120.0,120.0,119.0,119.5,-0.5,8246
2025-07-14,3231,21958560,2574099424,118.5,118.5,116.5,117.0,-2.5,13965
2025-07-15,3231,23058941,2741566377,117.5,120.0,117.5,120.0,3.0,11183
2025-07-16,3231,35734962,4254920303,120.0,120.5,117.5,118.0,-2.0,20588
2025-07-17,3231,18220274,2151929639,118.5,119.5,117.5,118.0,0.0,11418
2025-07-18,3231,19608448,2330986968,119.0,119.5,118.0,119.0,1.0,10976
2025-07-21,3231,12732123,1509349855,119.5,119.5,118.0,118.5,-0.5,6585
2025-07-22,3231,46515216,5372787883,118.0,119.0,113.5,114.5,-4.0,33845
2025-07-23,3231,21123876,2442807782,115.5,116.5,114.5,116.0,1.5,12292
2025-07-24,3231,27155351,3179202147,116.5,118.0,116.0,117.0,1.0,12961
2025-07-25,3231,18744996,2182383400,117.0,118.0,115.5,116.5,-0.5,11540
2025-07-28,3231,33102201,3932081303,117.0,120.0,117.0,120.0,3.5,18728
2025-07-29,3231,30791371,3684406419,120.0,120.5,118.0,120.5,0.5,18533
2025-07-30,3231,22733842,2735137632,121.0,121.0,119.0,120.5,0.0,12079
2025-07-31,3231,57587883,7086723213,121.0,124.5,120.5,123.0,2.5,30645
2025-08-01,3231,35749535,4366581443,120.0,123.5,119.5,123.5,0.5,19608
