date,stock_id,-,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,IncomeLossFromDiscontinuedOperation,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2024-12-31,1560,,,-583000.0,1267629000.0,1.62,239295000.0,,566383000.0,,,248553000.0,,248553000.0,,,,,9258000.0,,272181000.0,294202000.0,-604000.0,,,307425000.0,,1834012000.0,58872000.0,247949000.0,,13223000.0,
2025-03-31,1560,,,9307000.0,1224041000.0,1.96,285815000.0,,547586000.0,,,288447000.0,,288447000.0,,,,,2632000.0,,266125000.0,281461000.0,25827000.0,,,315255000.0,,1771627000.0,26808000.0,314274000.0,,33794000.0,
2025-06-30,1560,,,-10266000.0,1435040000.0,1.82,266366000.0,,679723000.0,,,280847000.0,,280847000.0,,,,,14481000.0,,327610000.0,352113000.0,-115832000.0,,,336155000.0,,2114763000.0,55308000.0,165015000.0,,-15958000.0,
2023-09-30,1603,,,515000.0,1009053000.0,1.08,171416000.0,,191388000.0,,,172199000.0,,172199000.0,,,,,783000.0,6909000.0,35845000.0,162452000.0,-30153000.0,,,203258000.0,,1200441000.0,31059000.0,142046000.0,,40806000.0,
2023-12-31,1603,,,1359000.0,811225000.0,0.79,125062000.0,,152564000.0,,,124707000.0,,124707000.0,0.0,,,,-355000.0,6794000.0,34043000.0,125315000.0,114711000.0,,,161779000.0,,963789000.0,37072000.0,239418000.0,,36464000.0,
2024-03-31,1603,,,3088000.0,866285000.0,0.67,105926000.0,,163114000.0,,,105854000.0,,105854000.0,,,,,-72000.0,7808000.0,44700000.0,126222000.0,140712000.0,,,131364000.0,,1029399000.0,25510000.0,246566000.0,,5142000.0,
2024-06-30,1603,,,5057000.0,1019669000.0,0.51,81503000.0,,121799000.0,,,81510000.0,,81510000.0,,,,,7000.0,7575000.0,37512000.0,91862000.0,215282000.0,,,109588000.0,,1141468000.0,28078000.0,296792000.0,,17726000.0,
2024-09-30,1603,,,1235000.0,990809000.0,1.02,162565000.0,,180316000.0,,,163558000.0,,163558000.0,,,,,993000.0,6879000.0,35911000.0,151284000.0,-6277000.0,,,192606000.0,,1171125000.0,29048000.0,157281000.0,,41322000.0,
2024-12-31,1603,,,1852000.0,1042001000.0,0.65,101934000.0,,153980000.0,,,101787000.0,,101787000.0,0.0,,,,-147000.0,7081000.0,36974000.0,124087000.0,3384000.0,,,129669000.0,,1195981000.0,27882000.0,105171000.0,,5582000.0,
2025-03-31,1603,,,-3385000.0,1204318000.0,0.86,137381000.0,,221333000.0,,,137370000.0,,137370000.0,,,,,-11000.0,7500000.0,61023000.0,167810000.0,-156996000.0,,,170097000.0,,1425651000.0,32727000.0,-19626000.0,,2287000.0,
