stock_id,stock_name,industry_category,type,date
8261,富鼎,半導體業,twse,2025-09-24
8271,宇瞻,半導體業,twse,2025-09-24
8272,全景軟體,資訊服務業,tpex,2025-09-24
8277,商丞,半導體業,tpex,2025-09-24
8279,生展,生技醫療業,tpex,2025-09-24
8284,三竹,資訊服務業,tpex,2025-09-24
8289,泰藝,電子零組件業,tpex,2025-09-24
8291,尚茂,電子零組件業,tpex,2025-08-22
8298,威睿,資訊服務業,emerging,2025-09-24
8299,群聯,半導體業,tpex,2025-09-24
8329,台視,文化創意業,emerging,2025-09-24
8341,日友,綠能環保,twse,2025-09-24
8342,益張,其他,tpex,2025-09-24
8345,超秦,農業科技,emerging,2025-09-24
8349,恒耀,鋼鐵工業,tpex,2025-09-24
8349A,恒耀甲特,鋼鐵工業,tpex,2025-09-24
8354,冠好,其他,tpex,2025-09-24
8358,金居,電子零組件業,tpex,2025-09-24
8359,錢櫃,觀光餐旅,emerging,2025-09-24
8367,建新國際,航運業,twse,2025-09-24
8374,羅昇,電機機械,twse,2025-09-24
8383,千附,半導體業,tpex,2025-09-24
8390,金益鼎,綠能環保類,tpex,2025-09-24
8401,白紗科,其他,tpex,2025-09-24
8403,盛弘,生技醫療業,tpex,2025-09-24
8404,百和興業-KY,其他,twse,2025-09-24
8409,商之器,生技醫療業,tpex,2025-09-24
8410,森田,電腦及週邊設備業,tpex,2025-09-24
8411,福貞-KY,其他,twse,2025-09-24
8415,大國鋼,鋼鐵工業,tpex,2025-09-24
8416,實威,資訊服務業,tpex,2025-09-24
8418,捷必勝-KY,其他,tpex,2024-01-27
8420,明揚,運動休閒類,tpex,2024-11-23
8421,旭源,其他,tpex,2025-09-24
