price,stock_id,date
47720.09,TAIEX,2025-05-20
48336.11,TAIEX,2025-05-21
48046.91,TAIEX,2025-05-22
48005.4,TAIEX,2025-05-23
47748.95,TAIEX,2025-05-26
47306.54,TAIEX,2025-05-27
47355.66,TAIEX,2025-05-28
47332.56,TAIEX,2025-05-29
46569.74,TAIEX,2025-06-02
46856.93,TAIEX,2025-06-03
47947.73,TAIEX,2025-06-04
48072.81,TAIEX,2025-06-05
48042.29,TAIEX,2025-06-06
48329.93,TAIEX,2025-06-09
49336.29,TAIEX,2025-06-10
49845.86,TAIEX,2025-06-11
49534.6,TAIEX,2025-06-12
49070.32,TAIEX,2025-06-13
49027.83,TAIEX,2025-06-16
49419.49,TAIEX,2025-06-17
49746.91,TAIEX,2025-06-18
49022.06,TAIEX,2025-06-19
49127.61,TAIEX,2025-06-20
48437.09,TAIEX,2025-06-23
49509.89,TAIEX,2025-06-24
50058.43,TAIEX,2025-06-25
50224.51,TAIEX,2025-06-26
50427.06,TAIEX,2025-06-27
49791.93,TAIEX,2025-06-30
50527.22,TAIEX,2025-07-01
50672.94,TAIEX,2025-07-02
51049.21,TAIEX,2025-07-03
50678.19,TAIEX,2025-07-04
50415.15,TAIEX,2025-07-07
50278.7,TAIEX,2025-07-08
50715.81,TAIEX,2025-07-09
51118.84,TAIEX,2025-07-10
51254.2,TAIEX,2025-07-11
50982.13,TAIEX,2025-07-14
51498.65,TAIEX,2025-07-15
51974.2,TAIEX,2025-07-16
52160.94,TAIEX,2025-07-17
52773.96,TAIEX,2025-07-18
52680.96,TAIEX,2025-07-21
51905.67,TAIEX,2025-07-22
52657.75,TAIEX,2025-07-23
52799.26,TAIEX,2025-07-24
52783.23,TAIEX,2025-07-25
52894.49,TAIEX,2025-07-28
52418.25,TAIEX,2025-07-29
53024.7,TAIEX,2025-07-30
53241.87,TAIEX,2025-07-31
52997.73,TAIEX,2025-08-01
52873.7,TAIEX,2025-08-04
53516.83,TAIEX,2025-08-05
53036.14,TAIEX,2025-08-06
54325.17,TAIEX,2025-08-07
54367.25,TAIEX,2025-08-08
54627.86,TAIEX,2025-08-11
54696.4,TAIEX,2025-08-12
55197.85,TAIEX,2025-08-13
54902.49,TAIEX,2025-08-14
55122.88,TAIEX,2025-08-15
55458.79,TAIEX,2025-08-18
55173.11,TAIEX,2025-08-19
53523.93,TAIEX,2025-08-20
54300.41,TAIEX,2025-08-21
53853.13,TAIEX,2025-08-22
55019.08,TAIEX,2025-08-25
55085.2,TAIEX,2025-08-26
55573.36,TAIEX,2025-08-27
54944.81,TAIEX,2025-08-28
54937.67,TAIEX,2025-08-29
54572.57,TAIEX,2025-09-01
54454.98,TAIEX,2025-09-02
54644.67,TAIEX,2025-09-03
54829.75,TAIEX,2025-09-04
55543.47,TAIEX,2025-09-05
55664.43,TAIEX,2025-09-08
56362.76,TAIEX,2025-09-09
57137.59,TAIEX,2025-09-10
57190.09,TAIEX,2025-09-11
57777.38,TAIEX,2025-09-12
57511.37,TAIEX,2025-09-15
58222.31,TAIEX,2025-09-16
57787.89,TAIEX,2025-09-17
58542.19,TAIEX,2025-09-18
58108.3,TAIEX,2025-09-19
58794.92,TAIEX,2025-09-22
59630.95,TAIEX,2025-09-23
59515.92,TAIEX,2025-09-24
