stock_id,open,high,low,close,volume,ret_5d,ret_20d,rsi_14,breakout_20d,volatility_20d,volume_ratio_20d,inst_net_buy_5d_ratio,inst_consistency_20d,stock_name,industry
6689,77.4,78.9,76.6,76.7,293231,0.006561679790026309,0.010540184453227797,56.48854961832062,-0.11839080459770113,0.02031374757383752,0.5494850106423358,-0.07898504449571522,0.3,伊雲谷,電子工業
6691,446.0,454.5,446.0,449.0,591087,-0.032327586206896575,-0.06360792492179357,29.16666666666667,-0.12475633528265107,0.02216916497338189,0.5791522928703619,-0.29437995807311246,0.25,洋基工程,其他電子業
6695,51.5,53.6,50.7,52.6,1498232,-0.005671077504725841,-0.0037878787878786735,52.542372881355924,-0.09310344827586203,0.03365490238137062,0.5101658730667201,0.024571259036146494,0.5,芯鼎,半導體業
6698,36.4,36.4,35.15,35.7,246600,-0.02857142857142847,-0.03903095558546421,35.18518518518519,-0.14593301435406691,0.018543378409024064,0.38312018453777585,-0.0457070766204571,0.7,旭暉應材,其他電子業
6706,79.0,82.5,78.3,79.7,6490802,0.1369472182596292,0.29593495934959346,90.25423728813558,-0.04778972520908009,0.023431792307580312,1.5787369964416285,-0.04108004395648027,0.5,惠特,光電業
6715,96.5,96.5,94.3,95.0,57076,0.020408163265306145,-0.13636363636363635,27.58620689655173,-0.16666666666666663,0.027239272473582394,0.5112900632304456,0.029381471648492304,0.6,嘉基,電子工業
6719,215.5,215.5,210.0,214.0,609670,0.0490196078431373,0.14745308310991967,84.61538461538461,-0.00696055684454755,0.019486155560478113,1.3261701683820863,0.1085116388075259,0.85,力智,電子工業
6742,55.0,56.0,54.8,54.9,601201,-0.033450704225352124,-0.048526863084922045,29.891304347826093,-0.1618320610687023,0.026357766110651146,0.22371900522906954,0.04261711165476626,0.45,澤米,光電業
6743,33.2,33.55,32.45,33.4,211516,-0.03746397694524506,0.04049844236760114,48.42767295597484,-0.06311360448807857,0.02666985786483486,0.64215314816434,0.02516587634589655,0.5,安普新,其他電子業
6753,159.0,160.0,150.0,151.5,6598838,-0.12680115273775217,0.08992805755395694,47.083333333333336,-0.2920560747663551,0.06213071847694138,0.47070620614548325,-0.024207209611332565,0.6,龍德造船,航運業
6754,49.5,49.65,49.0,49.0,18670,-0.018036072144288595,0.009268795056642798,46.153846153846175,-0.06666666666666665,0.017724311705695467,0.927904734451259,-0.14486032902727172,0.5,匯僑設計,其他
6756,92.8,93.0,91.3,92.0,104592,0.0,0.022222222222222143,47.86729857819905,-0.061224489795918324,0.019412950910308865,0.4298432678148935,-0.013904304532066961,0.5,威鋒電子,半導體業
6757,77.7,77.8,75.7,75.8,3566778,-0.13172966781214202,-0.08454106280193241,25.543478260869605,-0.14253393665158376,0.021954831568237833,1.2700397334958222,-0.17704839003555173,0.5,台灣虎航-創,創新版股票
6768,108.0,108.0,104.0,104.5,1406473,0.05025125628140703,0.009661835748792313,59.036144578313255,-0.041284403669724745,0.01851559014059957,1.5186012792882293,0.31268671618714033,0.5,志強-KY,其他
6770,21.65,23.45,21.65,23.45,259556236,0.26415094339622636,0.48417721518987333,88.5714285714286,0.0,0.03933703439638284,2.937310106169689,0.08277187257798559,0.75,力積電,半導體業
6771,51.8,51.8,51.4,51.5,37359,-0.01904761904761909,-0.04629629629629628,28.571428571428612,-0.06702898550724645,0.006994367834070102,1.208637981235846,,0.2,平和環保-創,創新版股票
6776,54.1,54.1,53.0,53.2,124275,0.0037735849056603765,-0.04659498207885293,21.666666666666643,-0.07638888888888884,0.011461746309291245,0.6867494247385627,-0.21582111084395286,0.4,展碁國際,電子工業
6781,1225.0,1250.0,1195.0,1195.0,1052742,-0.06640625,-0.07722007722007718,46.236559139784944,-0.19798657718120805,0.03789311649239922,0.63425287997579,-0.2201395534785833,0.35,AES-KY,電子工業
6782,190.0,192.5,189.0,192.5,166348,0.0185185185185186,-0.0767386091127098,31.25,-0.10256410256410253,0.024020037299937555,0.5591284147031533,-0.06647490071386154,0.4,視陽,化學生技醫療
6789,315.0,315.0,302.0,305.5,3701710,0.013266998341625147,0.2171314741035857,64.60905349794238,-0.06431852986217457,0.03427474399367533,0.7075618617980609,-0.08168839772997419,0.35,采鈺,半導體業
6790,38.5,38.6,38.4,38.5,183899,-0.002590673575129543,-0.019108280254777066,41.37931034482761,-0.021601016518424387,0.003044143206220444,0.9473689633233822,-0.336214816984481,0.25,永豐實,造紙工業
6792,58.8,58.8,57.8,58.3,56784,-0.01018675721561968,-0.0551053484602918,16.312056737588676,-0.1635581061692971,0.027598523850349607,0.47756173047164097,-0.11425398068151817,0.65,詠業,通信網路業
6794,94.3,94.5,89.1,93.0,190966,0.16541353383458657,0.21568627450980382,85.32110091743118,-0.03125,0.02742944908443253,3.7430882644070853,-0.0406892142164212,0.3,向榮生技-創,創新版股票
6796,72.5,72.7,72.0,72.3,35715,-0.0013812154696133394,-0.009589041095890427,38.35616438356162,-0.03342245989304815,0.009514052300127258,1.705986596672574,-0.03879001027935272,0.15,晉弘,化學生技醫療
6799,91.1,91.2,89.4,90.3,289865,0.029646522234891615,0.022650056625141524,61.90476190476189,-0.0728952772073923,0.02445087111135543,0.6619116989036491,-0.055001607307523424,0.55,來頡,半導體業
6805,987.0,1035.0,986.0,1010.0,3081452,0.014056224899598346,-0.11790393013100442,55.55555555555556,-0.14406779661016944,0.032915916548462425,1.3310651669895104,-0.09888903000987449,0.35,富世達,電子零組件業
6806,57.4,58.1,56.8,57.1,870576,0.03068592057761732,-0.01721170395869187,59.166666666666664,-0.05149501661129574,0.021451424679387595,0.5878848621484766,-0.07466663387218762,0.4,森崴能源,其他
6807,49.4,50.7,49.4,50.0,23360,-0.003984063745020028,-0.011857707509881465,46.42857142857134,-0.017681728880157177,0.006510707948801197,1.2857984224750518,-0.18951358180669614,0.1,峰源-KY,其他
6830,173.5,178.5,173.5,177.0,1009176,0.038123167155425186,0.15686274509803932,45.0,-0.053475935828877,0.02730844229499004,0.6639645369238887,0.015399125750457984,0.55,汎銓,其他電子業
6834,30.4,30.4,29.3,29.4,203801,0.03157894736842093,-0.003389830508474634,58.53658536585363,-0.09259259259259256,0.01584880503178672,0.7712622583454765,-0.01229655601590126,0.3,天二科技,電子工業
6835,39.5,39.7,39.1,39.25,42087,-0.005069708491761804,-0.045012165450121655,9.43396226415095,-0.1467391304347826,0.021166722050816163,0.1845284510409019,-0.37084112513635653,0.35,圓裕,電子工業
6838,30.05,30.4,29.95,30.25,182522,-0.014657980456026065,-0.059097978227060644,26.19047619047612,-0.11029411764705888,0.01685706896303675,0.4849824357877616,-0.017860112792754654,0.55,台新藥,化學生技醫療
6854,159.0,161.5,156.5,158.5,302726,-0.039393939393939426,-0.07848837209302328,31.932773109243698,-0.1679790026246719,0.040846256010534716,0.4252945793576904,-0.1171796536970076,0.5,錼創科技-KY創,創新版股票
6861,63.0,63.0,61.4,62.0,104434,-0.008000000000000007,0.08202443280977323,73.2876712328767,-0.06485671191553544,0.027796484227949263,0.26501584755891766,0.1454120270383979,0.7,睿生光電,生技醫療業
6862,164.0,165.0,160.0,162.0,362846,0.12891986062717775,0.2134831460674158,59.060402684563755,-0.055393586005830886,0.04363953135765023,0.682725875906407,-0.015736232016848206,0.45,三集瑞-KY,電子工業
6863,143.0,143.5,141.5,141.5,184449,-0.013937282229965153,-0.05033557046979864,33.33333333333333,-0.11285266457680254,0.019474169103323172,1.0162804100626905,-0.09657010346840321,0.4,永道-KY,通信網路業
6869,120.0,121.0,119.0,119.0,418758,0.008474576271186418,-0.07751937984496127,39.655172413793096,-0.09848484848484851,0.019542957096648432,0.5348785567866362,-0.08056658577836606,0.65,雲豹能源-創,創新板股票
6873,127.0,127.5,125.5,125.5,616790,-0.015686274509803977,-0.23006134969325154,23.33333333333333,-0.2617647058823529,0.02106568817282371,0.4373631002228688,-0.21903931128586748,0.45,泓德能源-創,創新板股票
6885,31.4,31.8,31.1,31.7,350599,-0.02611367127496156,-0.050898203592814384,25.86206896551728,-0.19338422391857502,0.027202964840226777,0.38228522713624424,0.007235037147867681,0.65,全福生技,生技醫療業
6887,72.5,78.7,72.5,73.8,779454,0.027855153203342642,0.013736263736263687,59.40594059405935,-0.0622617534942822,0.013798559615056475,7.601125559573863,0.7791552589845534,0.25,寶綠特-KY,綠能環保
6890,224.0,225.5,222.0,224.0,481518,0.0717703349282297,-0.042735042735042694,50.94339622641509,-0.10578842315369263,0.03127031042536482,0.44128502895463895,-0.05972850326411202,0.5,來億-KY,運動休閒
6901,19.2,19.3,19.0,19.1,740273,-0.04020100502512547,-0.06829268292682922,31.818181818181827,-0.11368909512761016,0.01723364811150783,1.0371626856642162,-0.06915225902208653,0.6,鑽石投資,其他
6902,76.1,76.1,74.8,75.5,81002,-0.053884711779448535,-0.009186351706036766,38.54748603351956,-0.11280846063454752,0.028354617570095105,0.8084721800113682,-0.1170668649404099,0.5,GOGOLOOK-創,創新版股票
6906,119.0,119.0,116.0,116.0,80255,-0.016949152542372836,0.0043290043290042934,30.0,-0.11787072243346008,0.03130850533619228,0.7016907288604247,0.10919740838722321,0.4,現觀科,數位雲端
6909,45.7,46.1,45.5,45.9,117047,-0.006493506493506551,-0.025477707006369532,38.40579710144927,-0.08565737051792832,0.016347430648212834,0.4536184116825334,-0.296652137091565,0.5,創控,半導體業
6914,143.5,143.5,141.0,142.5,128457,-0.03389830508474578,-0.020618556701030966,54.285714285714285,-0.043624161073825496,0.011121143857430986,1.4520608645423685,-0.35659637502068303,0.25,阜爾運通,其他
6916,18.55,18.7,18.4,18.7,19570,0.03314917127071815,-0.0434782608695653,35.71428571428574,-0.08780487804878057,0.016866437533022128,0.3436933068494546,-0.13371098353799946,0.4,華凌,電子工業
6918,91.0,92.0,90.2,91.6,66889,-0.0010905125408943173,-0.058581706063720485,35.11450381679387,-0.08855721393034832,0.011400874722361632,0.6275368879277792,0.04429033213850503,0.65,愛派司,生技醫療業
6919,198.5,203.0,193.5,196.5,22652534,-0.007575757575757569,-0.012562814070351758,25.000000000000014,-0.29061371841155237,0.05742134664129971,0.6092521499111824,0.09028972406000138,0.55,康霈*,化學生技醫療
6923,108.5,111.0,102.0,103.5,1302409,-0.09210526315789469,0.014705882352941124,48.41437632135306,-0.16532258064516125,0.044439980006626155,0.8843044880213521,0.011207273536419083,0.4,中台,綠能環保
6924,61.9,61.9,58.1,60.0,13000,-0.032258064516129004,-0.07692307692307687,38.85714285714286,-0.12790697674418605,0.024188750108270658,0.7179405048226273,,0.3,榮惠-KY創,創新版股票
6928,69.0,69.3,62.8,63.0,3095181,-0.007874015748031482,-0.023255813953488413,27.30263157894737,-0.25355450236966826,0.051477511999976334,1.3803317044141898,-0.11109542689179028,0.5,攸泰科技,電子工業
6931,51.1,51.9,51.0,51.9,40196,0.031809145129224614,0.038000000000000034,58.11965811965811,-0.03888888888888886,0.018881019360067888,0.4529144621978791,-0.005039912463399913,0.45,青松健康,化學生技醫療
6933,187.0,202.0,187.0,196.5,762609,0.03421052631578947,0.050802139037433136,55.90551181102362,-0.096551724137931,0.039063564007368275,2.169860268167777,-0.05478344686133146,0.6,AMAX-KY,電子工業
6936,35.5,35.5,35.05,35.45,32588,0.0128571428571429,-0.018005540166204925,38.29787234042549,-0.031420765027322384,0.005950324998296817,0.5721936166383538,-0.036420395421436005,0.3,永鴻生技,化學生技醫療
6937,252.5,262.0,249.5,252.5,767356,-0.03809523809523807,0.22276029055690083,70.44534412955466,-0.09009009009009006,0.041507697694865134,0.5462430432593203,-0.02000494965897411,0.35,天虹,電子工業
6944,526.0,540.0,526.0,534.0,448179,-0.03956834532374098,-0.13170731707317074,43.421052631578945,-0.13731825525040386,0.02371172972153999,0.5408220300818294,-0.008108819529410618,0.4,兆聯實業,綠能環保
6949,418.5,426.5,408.5,421.0,116128,0.0035756853396902155,0.06852791878172582,52.81385281385281,-0.16633663366336637,0.048913269606167147,0.37307665679906404,-0.03291406566768069,0.55,沛爾生醫-創,創新版股票
